Date,Name,Year,Letterboxd URI,Rating
2020-08-30,L.A. Confidential,1997,https://boxd.it/27oC,4.5
2020-08-30,Knives Out,2019,https://boxd.it/jWEA,4
2020-08-30,Trainspotting,1996,https://boxd.it/29XY,4
2020-08-30,The Aviator,2004,https://boxd.it/26BU,3
2020-08-30,Bohemian Rhapsody,2018,https://boxd.it/f1TK,2.5
2020-08-30,Green Book,2018,https://boxd.it/hErk,2
2020-08-30,The Judge,2014,https://boxd.it/6aiU,2
2020-08-30,Captain Marvel,2019,https://boxd.it/9vSA,1.5
2020-08-30,Venom,2018,https://boxd.it/b8wA,1.5
2020-08-30,Rampage,2018,https://boxd.it/f9a4,1.5
2020-08-30,Charlie's Angels,2019,https://boxd.it/gogo,1.5
2020-09-01,Murder Mystery,2019,https://boxd.it/iEBm,2
2020-09-05,Les Misérables,2012,https://boxd.it/2TT4,2.5
2020-09-06,Easy A,2010,https://boxd.it/17DK,4
2020-09-07,The Master,2012,https://boxd.it/2cBG,4.5
2020-09-07,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4
2020-09-07,Gladiator,2000,https://boxd.it/2b9m,3
2020-09-07,Amores Perros,2000,https://boxd.it/2bfu,4.5
2020-09-08,Spring Breakers,2012,https://boxd.it/421s,3
2020-09-08,Black Panther,2018,https://boxd.it/8MHs,3
2020-09-08,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,1
2020-09-09,The Garden of Afflictions,2017,https://boxd.it/eYr4,2.5
2020-09-09,A Ghost Story,2017,https://boxd.it/fb0K,4
2020-09-09,Only God Forgives,2013,https://boxd.it/2HBs,2.5
2020-09-09,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2020-09-10,Empire Records,1995,https://boxd.it/1PY8,3
2020-09-11,Dawn of the Dead,2004,https://boxd.it/29gK,2.5
2020-09-12,Moana,2016,https://boxd.it/8tfY,4
2020-09-13,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2020-09-14,Prisoners,2013,https://boxd.it/4E5i,3.5
2020-09-14,The Lighthouse,2019,https://boxd.it/icFU,4
2020-09-14,The Little Mermaid,1989,https://boxd.it/1WYO,3.5
2020-09-21,Moonrise Kingdom,2012,https://boxd.it/2Wng,4
2020-09-21,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,3.5
2020-09-23,Nocturnal Animals,2016,https://boxd.it/bkFu,5
2020-09-23,Blindspotting,2018,https://boxd.it/hDMw,4.5
2020-09-24,Halloween,1978,https://boxd.it/2wRu,3
2020-09-25,Inception,2010,https://boxd.it/1skk,4.5
2020-09-25,Dredd,2012,https://boxd.it/GZE,3.5
2020-09-27,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2020-09-27,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2020-09-28,Baywatch,2017,https://boxd.it/biG6,2.5
2020-09-30,The Godfather,1972,https://boxd.it/2aNK,4.5
2020-09-30,The Great Hack,2019,https://boxd.it/kL8g,3
2020-10-05,The Villainess,2017,https://boxd.it/fwe4,3.5
2020-10-05,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,3
2020-10-05,Thirst,2009,https://boxd.it/1Aqq,4.5
2020-10-05,Operation Avalanche,2016,https://boxd.it/d5ei,3.5
2020-10-06,The Conjuring,2013,https://boxd.it/4sr2,3
2020-10-11,Snowpiercer,2013,https://boxd.it/3Icg,4
2020-10-12,What We Do in the Shadows,2014,https://boxd.it/7eQy,3.5
2020-10-12,The Cabin in the Woods,2011,https://boxd.it/1zOc,4
2020-10-13,A Single Man,2009,https://boxd.it/1dx4,4.5
2020-10-13,The King of Comedy,1982,https://boxd.it/2aJS,4.5
2020-10-14,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4.5
2020-10-15,Paddleton,2019,https://boxd.it/j4YQ,3.5
2020-10-17,Arrival,2016,https://boxd.it/aNGk,4.5
2020-10-18,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,3
2020-10-19,On the Beach at Night Alone,2017,https://boxd.it/fqEK,4
2020-10-19,The Broken Circle Breakdown,2012,https://boxd.it/4pHm,4
2020-10-20,Frank,2014,https://boxd.it/5hII,3.5
2020-10-24,Death Proof,2007,https://boxd.it/27GG,1.5
2020-10-25,"Right Now, Wrong Then",2015,https://boxd.it/bWs4,4
2020-10-25,[REC],2007,https://boxd.it/20ma,3
2020-10-25,Tully,2018,https://boxd.it/e4kc,3
2020-10-25,Downfall,2004,https://boxd.it/2a04,3.5
2020-10-26,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4.5
2020-10-26,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,4.5
2020-10-27,The Second Mother,2015,https://boxd.it/9Ydm,4
2020-10-27,Twilight,2008,https://boxd.it/1Zui,1
2020-11-01,Thunder Road,2018,https://boxd.it/i8Hs,3.5
2020-11-02,Paddington 2,2017,https://boxd.it/bCF8,4
2020-11-02,Everything Is a Remix,2010,https://boxd.it/7rCE,3
2020-11-02,Super Size Me,2004,https://boxd.it/1YQC,3
2020-11-02,Tickled,2016,https://boxd.it/cWEG,4
2020-11-02,Super Size Me 2: Holy Chicken!,2017,https://boxd.it/gO0w,3
2020-11-02,CineMagia: The Story of São Paulo's Video Stores,2017,https://boxd.it/cKyQ,2.5
2020-11-02,Generation Wealth,2018,https://boxd.it/hLAI,2.5
2020-11-02,Make Us Dream,2018,https://boxd.it/kA0K,3
2020-11-02,Widows,2018,https://boxd.it/e6gc,3
2020-11-02,Stoker,2013,https://boxd.it/34S2,4
2020-11-03,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4.5
2020-11-03,Good Boys,2019,https://boxd.it/iW1G,2
2020-11-04,There Will Be Blood,2007,https://boxd.it/20Z2,5
2020-11-04,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,3
2020-11-04,About Time,2013,https://boxd.it/43bI,3.5
2020-11-05,The Square,2017,https://boxd.it/e5YW,4
2020-11-05,Sin City,2005,https://boxd.it/2aVk,4.5
2020-11-05,Dogtooth,2009,https://boxd.it/158K,4
2020-11-06,Invisible Life,2019,https://boxd.it/k1JU,4.5
2020-11-06,You Were Never Really Here,2017,https://boxd.it/dWOS,3.5
2020-11-07,Silence,2016,https://boxd.it/2cAo,3
2020-11-07,Little Miss Sunshine,2006,https://boxd.it/29EW,3.5
2020-11-07,God's Not Dead,2014,https://boxd.it/7jAg,0.5
2020-11-07,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/27Vc,0.5
2020-11-07,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2,0.5
2020-11-07,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,1
2020-11-08,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,3.5
2020-11-09,Black Swan,2010,https://boxd.it/Sw0,5
2020-11-09,School of Rock,2003,https://boxd.it/28xK,4
2020-11-10,Neighbors,2014,https://boxd.it/5Txe,3.5
2020-11-10,Joker,2019,https://boxd.it/h4cS,3
2020-11-10,Scarface,1983,https://boxd.it/2b7g,4.5
2020-11-11,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2020-11-12,Sorry to Bother You,2018,https://boxd.it/f21E,2.5
2020-11-12,Tag,2018,https://boxd.it/gh7Y,2
2020-11-13,The Farewell,2019,https://boxd.it/kIky,4
2020-11-16,Straight Outta Compton,2015,https://boxd.it/8rMc,3.5
2020-11-16,Being John Malkovich,1999,https://boxd.it/2ahu,4.5
2020-11-19,The Third Man,1949,https://boxd.it/294E,4.5
2020-11-20,Midsommar,2019,https://boxd.it/jhxe,5
2020-11-20,Casablanca,1942,https://boxd.it/2aG0,4.5
2020-11-20,Climax,2018,https://boxd.it/ikvo,4.5
2020-11-20,"Love, Rosie",2014,https://boxd.it/62hE,1
2020-11-22,The Help,2011,https://boxd.it/EDm,3.5
2020-11-22,The Dark Knight Rises,2012,https://boxd.it/H3m,3
2020-11-23,Ratatouille,2007,https://boxd.it/27ww,4.5
2020-11-23,The Sisters Brothers,2018,https://boxd.it/fDFm,3.5
2020-11-23,Waves,2019,https://boxd.it/jpmy,4
2020-11-24,It's a Wonderful Life,1946,https://boxd.it/28xA,5
2020-11-25,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,4
2020-11-26,Leviathan,2014,https://boxd.it/7Ub8,4
2020-11-30,One Child Nation,2019,https://boxd.it/kL0Q,3.5
2020-12-02,Under the Silver Lake,2018,https://boxd.it/dSAs,4
2020-12-02,The Devil Wears Prada,2006,https://boxd.it/2awE,3.5
2020-12-03,Pina,2011,https://boxd.it/n5W,3.5
2020-12-03,Blue Jasmine,2013,https://boxd.it/50MI,4
2020-12-03,The Salt of the Earth,2014,https://boxd.it/7Uyc,4.5
2020-12-03,Free Solo,2018,https://boxd.it/iEEq,3.5
2020-12-03,Braveheart,1995,https://boxd.it/2aTI,4.5
2020-12-04,Cold War,2018,https://boxd.it/fEoc,4
2020-12-04,Loveless,2017,https://boxd.it/fcFa,3.5
2020-12-04,Begin Again,2013,https://boxd.it/5Ybs,3.5
2020-12-04,Cine Holliúdy,2013,https://boxd.it/6o22,3
2020-12-05,Platoon,1986,https://boxd.it/29BS,4
2020-12-06,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2020-12-07,The Tree of Life,2011,https://boxd.it/1Zu8,3.5
2020-12-07,Sorry We Missed You,2019,https://boxd.it/iXBg,4
2020-12-08,Spider-Man,2002,https://boxd.it/2a8i,3.5
2020-12-08,Mission: Impossible - Ghost Protocol,2011,https://boxd.it/psI,3.5
2020-12-08,The Art of Self-Defense,2019,https://boxd.it/hf5y,3.5
2020-12-09,Yesterday,2019,https://boxd.it/iF7M,3
2020-12-09,Rear Window,1954,https://boxd.it/2a6Q,4.5
2020-12-10,Central Station,1998,https://boxd.it/29RG,4.5
2020-12-10,Frankenweenie,2012,https://boxd.it/bPS,3
2020-12-10,Sound of Metal,2019,https://boxd.it/i7Q4,4
2020-12-11,Eraserhead,1977,https://boxd.it/299u,3.5
2020-12-12,Skyfall,2012,https://boxd.it/17Fc,3.5
2020-12-13,Sausage Party,2016,https://boxd.it/6CCe,1.5
2020-12-13,The Birds,1963,https://boxd.it/2a6m,3
2020-12-14,Me Before You,2016,https://boxd.it/9n98,2.5
2020-12-14,The House That Jack Built,2018,https://boxd.it/dWO4,3.5
2020-12-14,Tropic Thunder,2008,https://boxd.it/20WM,3.5
2020-12-14,Annie Hall,1977,https://boxd.it/29M2,4.5
2020-12-14,Oldboy,2003,https://boxd.it/29R2,5
2020-12-15,mother!,2017,https://boxd.it/dgRU,4
2020-12-16,Oldboy,2013,https://boxd.it/35AS,0.5
2020-12-17,The Gift,2015,https://boxd.it/aJMy,3.5
2020-12-19,Vertigo,1958,https://boxd.it/2apI,4.5
2020-12-20,Clueless,1995,https://boxd.it/1Ygk,3.5
2020-12-20,Do the Right Thing,1989,https://boxd.it/29gA,4.5
2020-12-20,The Theory of Everything,2014,https://boxd.it/7YtA,2.5
2020-12-20,Coco,2017,https://boxd.it/bYJQ,4
2020-12-21,Bicycle Thieves,1948,https://boxd.it/23hW,4
2020-12-21,Rocketman,2019,https://boxd.it/iehK,3.5
2020-12-21,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2020-12-24,Casino Royale,2006,https://boxd.it/1alk,4
2020-12-25,Aquaman,2018,https://boxd.it/9ru0,2
2020-12-27,Thoroughbreds,2017,https://boxd.it/dVHQ,4
2020-12-30,The Queen's Gambit,2020,https://boxd.it/s1Ym,3.5
2020-12-30,The Lego Movie,2014,https://boxd.it/4pDO,4.5
2020-12-31,Moneyball,2011,https://boxd.it/glS,4
2021-01-01,Train to Busan,2016,https://boxd.it/dSQU,3.5
2021-01-01,The Edge of Seventeen,2016,https://boxd.it/d5nu,4
2021-01-01,The Social Dilemma,2020,https://boxd.it/opQI,3.5
2021-01-02,American Beauty,1999,https://boxd.it/71Y,5
2021-01-03,Dick Johnson Is Dead,2020,https://boxd.it/oigy,3
2021-01-03,Extraction,2020,https://boxd.it/jUjA,3
2021-01-05,Call Me by Your Name,2017,https://boxd.it/dYmm,4.5
2021-01-06,The Hateful Eight,2015,https://boxd.it/8gw8,4
2021-01-07,War Dogs,2016,https://boxd.it/9SlO,3
2021-01-07,The Witch,2015,https://boxd.it/9X0m,4
2021-01-09,Wonder Woman,2017,https://boxd.it/9roG,3
2021-01-10,Wind River,2017,https://boxd.it/dR3i,4
2021-01-11,The Host,2006,https://boxd.it/28ZY,4
2021-01-11,Emma.,2020,https://boxd.it/kmg0,3
2021-01-12,I'm No Longer Here,2019,https://boxd.it/lqSu,3.5
2021-01-12,Anomalisa,2015,https://boxd.it/97TE,4.5
2021-01-12,Sharknado,2013,https://boxd.it/69Qc,1.5
2021-01-13,Pain and Glory,2019,https://boxd.it/iOBQ,4
2021-01-13,Die Hard,1988,https://boxd.it/2a7u,4.5
2021-01-13,The Lobster,2015,https://boxd.it/7tnw,4.5
2021-01-14,True Grit,2010,https://boxd.it/Sog,3.5
2021-01-14,The Devil All the Time,2020,https://boxd.it/i2tY,3.5
2021-01-15,Three Colors: Blue,1993,https://boxd.it/2b7K,4
